question,option_a,option_b,option_c,option_d,correct,category
Which country hosted the 2023 ICC Cricket World Cup?,Australia,India,England,South Africa,B,Sports
"Lights, Camera, Action is most associated with which industry?",Sports,Film,Music,Politics,B,Movies
As of 2024 who shares the record for most F1 World Championships with Michael Schumacher?,Sebastian Vettel,Lewis Hamilton,Ayrton Senna,Max Verstappen,B,Motorsports
Which designer is credited with popularizing the little black dress?,Coco Chanel,Giorgio Armani,Donatella Versace,Christian Dior,A,Fashion
What is the official currency of Japan?,Won,Yuan,Yen,Ringgit,C,Current Affairs
Which is the largest planet in our solar system?,Saturn,Jupiter,Neptune,Earth,B,General Knowledge
What is the chemical symbol for gold?,Gd,Au,Ag,Go,B,College Subjects
How many rings are on the Olympic flag?,Four,Five,Six,Seven,1,Sports
Who directed the 1997 film Titanic?,Steven Spielberg,James Cameron,Christopher Nolan,Martin Scorsese,B,Movies
What is the tallest mountain above sea level?,K2,Kangchenjunga,Mount Everest,Lhotse,C,General Knowledge
The Monaco Grand Prix is held in which country?,France,Italy,Monaco,Spain,C,Motorsports
In economics what does GDP stand for?,Gross Domestic Profit,Gross Domestic Product,General Domestic Product,Gross Demand Product,B,College Subjects
